E-Mail;Name;E-Mail ASP;Zustaendig;Anspruch dieses Jahr;Rest Vorjahr;Genommen;Offen
sandra.alghanem@example.com;Alghanem, Sandra;leitung.netzwerk@example.com;Netzwerk-M;17;9;11;15
rafat.alsalaitah@example.com;Alsalaitah, Rafat;geschaeftsfuehrung@example.com;Geschaeftsfuehrer;26;0;4;22
jonathan.armstrong@example.com;Armstrong, Jonathan;generalsekretariat@example.com;Generalsekretaer;30;9;5;34
werner.baderschneider@example.com;Baderschneider, Werner;ifes@example.com;IFES;30;20;4;46
annette.bierau@example.com;Bierau, Annette (70%);geschaeftsfuehrung@example.com;Geschaeftsfuehrer;30;6;4;32
mattis.brecht@example.com;Brecht, Mattis;leitung-it@example.com;Leiter-IT;6;1,5;0;7,5
robin.bunse@example.com;Bunse, Robin;az-schueler@example.com;AZ Schueler;30;0,5;0;30,5
matthias.clausen@example.com;Clausen, Matthias (45%);iguw@example.com;IGUW;30;14;6;38
rebekka.dreyer@example.com;Dreyer, Rebekka;az-akademiker@example.com;AZ Akademiker;30;2;7;25
